contig,S102_Sub,S106_Sub,S110_Sub,S156_Sub,S161_Sub,S166_Sub,S1_Sub,S211_Sub,S216_Sub,S221_Sub,S266_Sub,S271_Sub,S276_Sub,S54_Sub,S58_Sub,S5_Sub,S62_Sub,S9_Sub
Tannerella,0,3,3,2,2,0,0,2,0,3,1,1,1,3,1,0,1,0
Natrialba,9,7,15,10,6,4,12,13,7,16,12,12,12,30,14,10,15,26
Oscillibacter,5,13,11,5,3,19,10,2,3,1,9,9,9,10,8,13,11,5
Desulfurobacterium,2,0,0,0,2,0,1,0,2,0,0,2,0,0,1,0,0,0
Dehalogenimonas,37,39,39,39,54,47,56,51,51,52,47,111,60,74,47,53,55,63
Acidithiobacillus,17,17,12,15,13,19,11,15,13,17,20,14,13,11,12,17,13,17
Fervidicoccus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acidaminococcus,7,14,10,5,12,4,6,5,9,3,7,7,7,7,4,5,5,6
Dictyoglomus,10,5,4,1,1,4,1,3,5,1,2,1,0,2,3,1,3,1
Methanosalsum,18,21,30,23,11,6,4,17,13,12,13,3,19,23,26,16,22,29
Methylibium,5,13,4,8,4,8,8,6,1,0,5,8,2,6,4,9,7,20
Microbacterium,7,9,7,5,5,17,10,2,3,3,10,6,6,6,5,4,2,7
Pseudonocardia,15,11,8,3,3,18,10,3,4,10,7,16,2,3,4,16,2,7
Butyrivibrio,0,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0,3,0
Aromatoleum,9,9,1,1,5,9,6,3,4,3,4,3,5,2,4,9,1,9
Akkermansia,2,1,1,7,2,5,7,2,6,4,0,7,4,3,3,3,2,4
Methylocystis,8,9,6,6,7,5,10,6,3,6,8,6,7,7,3,4,5,9
Stigmatella,27,18,18,21,37,46,56,25,14,21,22,32,16,19,16,39,16,33
Azorhizobium,2,2,4,0,2,6,11,8,7,3,7,21,3,3,0,9,1,7
Mesoplasma,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,1,0,0
Waddlia,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
Acaryochloris,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0
Pyrolobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Listeria,5,3,1,1,5,3,2,6,2,2,4,2,3,0,2,0,4,2
Rubrivivax,15,8,5,6,7,12,8,9,14,5,8,14,4,5,8,31,8,11
Ilyobacter,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Achromobacter,17,27,14,12,14,25,24,18,19,31,19,39,12,15,17,31,14,15
Herminiimonas,1,2,0,0,1,1,4,0,0,1,1,0,1,0,1,0,1,0
Nautilia,1,0,1,1,0,1,0,3,3,3,4,0,0,1,0,3,2,0
Fibrobacter,1,2,0,0,0,2,1,2,2,2,0,4,3,0,0,1,0,1
Salinibacter,9,14,13,12,6,18,11,10,13,21,11,9,8,4,6,10,5,16
Chroococcidiopsis,2,8,5,3,4,3,4,5,2,2,3,9,3,6,8,0,7,6
Halobacterium,1,0,0,1,0,1,0,1,2,1,0,1,0,0,0,0,0,1
Escherichia,4,9,11,20,16,3,20,2,9,18,20,32,3,3,8,45,19,8
Bibersteinia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Thermofilum,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1
Fretibacterium,8,12,2,6,8,12,5,12,2,6,5,15,13,7,3,9,10,8
Desulfobacula,7,3,4,3,3,6,3,3,3,4,4,3,3,4,6,7,2,3
Thermovirga,2,1,0,2,2,5,2,0,1,2,2,0,1,3,4,0,7,0
Phaeobacter,0,3,0,2,3,2,0,4,1,2,2,3,1,3,3,1,1,3
Lachnoclostridium,9,9,1,5,6,12,7,3,9,0,10,1,6,4,9,2,3,4
Rhodomicrobium,2,5,6,3,3,4,10,4,6,3,1,3,4,4,5,3,5,8
Frateuria,2,1,2,2,1,4,1,2,2,6,4,5,0,3,0,4,4,2
Sodalis,2,0,1,0,0,8,3,1,0,2,0,3,2,1,0,0,1,3
Simkania,1,1,2,5,3,6,1,3,6,4,6,1,6,4,2,2,1,1
Calditerrivibrio,0,0,0,2,2,0,0,0,0,0,1,2,1,0,0,0,0,0
Lambdalikevirus,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
Rivularia,5,8,7,7,5,6,4,1,3,7,7,4,8,8,5,5,5,10
Sulfurovum,3,0,3,0,0,0,0,2,0,1,1,0,1,2,0,2,8,0
Propionibacterium,30,37,27,31,19,38,49,39,16,20,19,39,33,35,34,54,28,37
Kribbella,9,6,5,2,3,11,11,3,4,3,6,4,2,4,8,18,8,15
Thermotoga,6,2,2,1,2,0,6,1,2,3,3,6,1,7,2,1,4,1
Leptospirillum,8,7,10,3,1,0,3,2,1,1,9,4,6,6,2,1,3,3
Thermobispora,3,9,6,5,8,18,12,13,6,8,1,4,3,4,9,14,7,7
Gallionella,0,0,0,0,0,0,2,3,1,1,2,5,6,0,0,0,3,2
Delftia,21,4,4,11,10,22,15,8,3,9,8,13,6,7,10,26,14,15
Teredinibacter,0,2,0,1,1,3,2,0,0,1,0,1,1,0,1,2,0,1
Atopobium,3,3,3,2,4,0,0,3,0,2,1,0,3,1,3,0,3,0
Anaerolinea,126,115,107,116,101,129,197,104,97,113,82,115,97,165,183,172,212,185
Yersinia,3,2,1,1,3,5,2,5,1,3,2,2,1,0,5,0,6,5
Thiomicrospira,2,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,2,0
Amphibacillus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cyclobacterium,2,1,0,1,1,2,1,0,4,1,0,1,2,1,7,2,1,1
Oligotropha,5,6,5,2,4,4,4,4,3,3,4,6,6,2,3,14,1,6
Bifidobacterium,78,55,49,31,62,58,182,175,123,115,60,67,63,53,89,196,86,145
Ornithobacterium,3,3,4,4,2,1,1,0,4,3,7,1,2,11,4,1,12,1
Brachyspira,4,3,2,1,1,0,1,2,3,2,2,0,2,2,4,0,1,1
Chitinophaga,0,1,0,1,3,2,1,0,1,0,1,0,2,5,4,0,7,2
Coprothermobacter,2,2,0,4,2,1,1,3,6,5,0,1,2,3,1,1,2,0
Natronobacterium,1,0,2,0,0,0,3,3,0,1,0,0,0,1,0,1,0,0
Spirosoma,2,3,1,0,4,1,1,1,2,0,2,1,1,0,1,4,0,1
Parvibaculum,4,4,1,2,3,1,1,4,0,2,2,11,5,2,2,4,4,3
Bdellovibrio,2,7,9,8,2,2,3,1,0,6,3,6,1,3,6,3,4,2
Stackebrandtia,2,3,5,6,1,6,11,4,8,5,9,11,3,5,7,9,6,4
Archaeoglobus,7,2,7,5,4,2,0,3,5,4,4,2,6,2,0,2,2,6
Desulfobulbus,27,18,7,18,8,19,26,23,11,15,21,17,18,13,23,26,14,21
Serratia,5,10,5,8,3,4,13,8,6,12,11,16,15,10,6,23,9,10
Thermodesulfobium,4,2,1,1,2,2,1,1,3,3,3,5,1,3,3,4,3,5
Amycolicicoccus,0,2,1,1,0,1,0,2,0,2,0,0,3,1,0,0,0,1
Thermosipho,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,2
Borrelia,3,1,1,0,3,3,0,3,3,2,6,1,4,3,4,0,0,0
Nitrosomonas,6,4,6,7,2,13,7,4,6,4,5,10,3,4,1,8,2,11
Sulfuricurvum,2,4,7,2,0,0,1,0,0,1,0,0,1,8,5,2,3,0
Solibacillus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Elusimicrobium,2,9,4,5,8,5,2,5,9,7,11,3,6,2,2,0,2,1
Blastococcus,9,5,0,3,1,10,7,1,2,3,4,2,2,8,2,9,2,2
Sphaerochaeta,1,2,3,1,2,3,3,1,0,2,0,6,6,0,2,0,2,1
Hepacivirus,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Actinosynnema,5,3,6,2,4,9,11,5,4,5,1,4,4,4,1,2,3,7
Spiroplasma,0,0,0,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0
Chloroflexus,9,13,5,9,9,12,15,17,12,5,8,5,9,15,10,24,10,10
Microcystis,2,4,1,3,3,5,4,5,2,2,5,6,0,6,4,9,2,7
Thermoplasma,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Morganella,2,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
Ichnovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Leptotrichia,2,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
Methanopyrus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
Planctomyces,12,17,19,28,17,18,8,13,8,17,17,10,11,10,18,8,15,17
Thermincola,0,0,2,1,0,1,2,1,3,1,3,0,3,1,0,0,0,1
Thermobaculum,3,5,4,2,6,3,10,2,7,4,6,9,3,6,8,5,4,6
Methylococcus,3,11,9,8,8,25,11,7,23,16,14,40,9,1,11,14,3,15
Ureaplasma,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Maricaulis,2,0,4,2,1,1,2,0,2,1,3,10,6,6,2,2,3,2
Eubacterium,3,11,2,0,2,2,2,2,7,4,6,7,3,11,7,6,6,2
Lactococcus,1,2,0,2,1,0,1,2,4,2,4,1,1,1,5,2,2,2
Lawsonia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium,51,46,47,52,33,93,66,46,40,45,49,70,60,68,32,76,40,76
Psychromonas,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Beijerinckia,1,0,5,7,1,5,1,3,0,3,3,5,5,1,5,4,8,5
Caldanaerobacter,1,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Halogeometricum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Geodermatophilus,3,7,4,3,2,15,11,8,3,2,6,7,4,2,5,6,3,4
Thermodesulfatator,3,0,0,2,2,2,1,1,0,0,1,2,1,2,0,0,0,0
Peptoclostridium,0,3,1,2,0,2,0,2,0,0,4,0,3,0,2,2,4,0
Arthrospira,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Syntrophobotulus,1,3,1,3,1,0,2,2,1,0,0,5,4,5,1,2,2,0
Anaeromyxobacter,116,118,100,100,108,278,167,82,98,72,88,169,92,73,50,151,72,97
Alkaliphilus,1,4,1,1,4,0,0,1,1,0,0,2,2,1,0,0,2,0
Methylovorus,3,0,0,3,2,1,3,2,0,0,1,0,2,2,0,4,0,4
Meiothermus,15,17,8,11,14,27,21,16,10,12,16,26,11,20,13,21,15,17
Brevibacillus,2,1,0,1,2,0,0,4,1,1,0,1,1,2,2,0,5,0
Hippea,12,19,7,9,9,4,10,5,7,12,8,10,11,5,11,5,11,7
Paludibacter,9,2,3,11,5,1,0,4,9,11,9,4,14,15,10,0,10,0
Catenulispora,17,9,7,13,11,39,22,9,6,7,13,13,6,8,6,6,6,17
Deinococcus,38,34,38,43,42,68,69,35,27,33,40,57,50,52,36,69,39,73
Legionella,2,2,0,1,1,0,0,3,4,1,4,0,0,0,0,2,0,0
Cellvibrio,5,0,9,3,3,1,10,0,2,3,0,2,1,2,4,3,9,3
Mimivirus,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoalteromonas,1,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0
Methanobrevibacter,31,24,16,15,18,8,6,22,8,11,15,3,15,18,29,1,20,10
Ehrlichia,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Ramlibacter,10,12,9,5,12,27,26,12,7,7,7,10,9,8,2,11,2,15
Methylacidiphilum,0,4,1,1,0,0,3,0,4,1,2,4,3,1,1,5,2,1
Colwellia,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Denitrovibrio,0,1,3,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0
Carboxydothermus,1,2,0,3,2,1,0,1,1,1,0,0,0,0,2,0,1,0
Pseudanabaena,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Robiginitalea,1,0,3,1,0,0,3,0,2,2,1,2,3,1,4,2,0,1
Comamonas,6,8,1,2,3,4,4,5,9,1,12,8,8,18,7,22,9,4
Methylophaga,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0
Nostoc,0,1,0,2,0,2,0,3,0,4,0,0,0,0,0,0,0,2
Nocardia,11,6,10,10,7,17,16,10,8,10,10,12,6,7,6,22,14,11
Granulibacter,1,0,0,1,0,2,0,0,0,1,2,0,0,2,0,2,1,0
Ammonifex,8,5,6,8,4,7,11,3,11,8,3,2,5,8,0,9,5,5
Salinarchaeum,1,0,2,4,1,1,1,2,2,0,0,3,1,1,0,0,0,0
Saccharopolyspora,2,6,5,5,1,9,2,1,2,0,3,8,2,3,4,5,0,3
Syntrophus,95,106,126,169,176,149,76,273,280,249,284,295,245,134,115,95,122,111
Alphabaculovirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acidilobus,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
Calothrix,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0
Chlamydia,4,1,3,2,1,3,2,5,6,4,10,1,5,3,3,0,1,2
Faecalitalea,2,5,0,4,5,2,0,4,3,2,5,3,7,0,0,0,1,0
Chromohalobacter,2,3,1,2,3,7,6,6,1,2,13,3,10,6,0,4,6,2
Oenococcus,7,7,3,1,6,0,0,1,0,0,5,0,4,0,0,0,0,0
Variovorax,12,11,15,13,20,30,24,7,10,23,9,19,9,7,11,36,8,15
Marinitoga,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Leisingera,2,0,3,4,1,8,5,3,1,4,2,1,6,1,1,5,5,4
Renibacterium,4,4,3,6,4,0,0,4,4,2,1,1,4,0,1,2,2,1
Komagataeibacter,1,2,3,0,0,0,1,0,5,2,0,2,3,3,1,3,5,2
Acetobacter,1,2,0,1,1,0,0,0,3,0,2,0,0,0,0,2,1,0
Acinetobacter,1,1,1,1,2,4,1,2,1,0,11,5,6,5,3,3,2,3
Emticicia,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
Moorella,10,3,9,2,6,12,9,10,10,9,10,13,8,9,12,6,10,5
